mbtiidx,name,imgFile,category,plants,character,growperiod,growenv,difflevel,reason
1,INTJ,intj.jpg,실내용,"선인장, 알로에, 제라늄, 다육식물, 스투키","공기정화, 인테리어 효과, 관리 편의성 높음","6개월 이상 장기재배 가능, 일부는 계절성","실내 반양지~양지, 통풍 양호, 온도 18~25℃",쉬움,물주기 주기가 길고 관리 효율이 높아 바쁜 일정에도 생육에 지장 없음. 빛이 충분한 창가 환경에서 성장률이 높음.
2,INTJ,intj.jpg,텃밭용,"토마토, 피망, 파프리카, 가지, 옥수수","식용 가능, 수확의 즐거움, 영양가 높음","3~6개월, 작물별 파종-수확 주기 상이","야외 양지, 배수 좋은 토양, 주기적 관수 필요",보통,"성장 단계가 명확하고, 계획적으로 영양·수분 공급을 조절하면 수확량 극대화 가능. 체계적인 재배법과 잘 어울림."
3,INTP,intp.jpg,실내용,"버섯 키트, 틸란드시아, 항아리정원, 모스테라리움, 수경재배 허브","공기정화, 인테리어 효과, 관리 편의성 높음","6개월 이상 장기재배 가능, 일부는 계절성","실내 반양지~양지, 통풍 양호, 온도 18~25℃",보통,실험적인 재배 방식과 독특한 형태를 가진 식물로 지적 호기심을 자극.
4,INTP,intp.jpg,텃밭용,"오이, 가지, 방울토마토, 케일, 적상추","식용 가능, 수확의 즐거움, 영양가 높음","3~6개월, 작물별 파종-수확 주기 상이","야외 양지, 배수 좋은 토양, 주기적 관수 필요",쉬움,재배 실험과 품종 변화에 적합. 성장 과정을 관찰하며 분석하기 좋음.
5,ENTJ,entj.jpg,실내용,"고무나무, 벤자민고무, 몬스테라, 금전수, 드라세나","공기정화, 인테리어 효과, 관리 편의성 높음","6개월 이상 장기재배 가능, 일부는 계절성","실내 반양지~양지, 통풍 양호, 온도 18~25℃",쉬움,"장기 재배로 큰 성취감을 주고, 공간 장악력이 강한 식물."
6,ENTJ,entj.jpg,텃밭용,"포도, 사과, 배, 옥수수, 감자","식용 가능, 수확의 즐거움, 영양가 높음","3~6개월, 작물별 파종-수확 주기 상이","야외 양지, 배수 좋은 토양, 주기적 관수 필요",어려움,장기간 관리와 대규모 수확에 적합해 전략적인 관리 스타일과 어울림.
7,ENTP,entp.jpg,실내용,"안스리움, 알로카시아, 마란타, 항아리정원, 하이드로컬처 식물","공기정화, 인테리어 효과, 관리 편의성 높음","6개월 이상 장기재배 가능, 일부는 계절성","실내 반양지~양지, 통풍 양호, 온도 18~25℃",보통,변화를 즐기고 독특한 식물 재배를 선호하는 성향에 맞음.
8,ENTP,entp.jpg,텃밭용,"체리토마토, 열대과일(패션프루트, 파파야), 오이, 가지, 옥수수","식용 가능, 수확의 즐거움, 영양가 높음","3~6개월, 작물별 파종-수확 주기 상이","야외 양지, 배수 좋은 토양, 주기적 관수 필요",어려움,"새로운 품종과 방식 실험에 적합, 빠른 성장과 시도에 보상이 큼."
9,INFJ,infj.jpg,실내용,"백합, 평화백합, 오키드(난), 카틀레야, 베고니아","공기정화, 인테리어 효과, 관리 편의성 높음","6개월 이상 장기재배 가능, 일부는 계절성","실내 반양지~양지, 통풍 양호, 온도 18~25℃",어려움,"상징성과 의미를 중시하는 성향에 맞게, 꽃말·색채·형태가 독특한 식물 추천. 실내 반음지 환경에서 안정적으로 개화 가능."
10,INFJ,infj.jpg,텃밭용,"블루베리, 아로니아, 라즈베리, 포도, 무화과","식용 가능, 수확의 즐거움, 영양가 높음","3~6개월, 작물별 파종-수확 주기 상이","야외 양지, 배수 좋은 토양, 주기적 관수 필요",어려움,"장기 재배가 가능하며, 인내와 꾸준한 관리로 풍성한 열매를 맺는 특성이 INFJ의 지속적인 몰입 성향과 잘 맞음."
