plantidx,name,engname,category,imgpath,growseason,bloomingseason,sunlight,humidity,temperature,water,disease,summary,note,postdate
1,몬스테라,Monstera,실내식물,monstera.jpg,봄~가을,,중간~밝음,50~60%,18~27℃,"주 7~10일 1회, 표토 2~3cm 건조 후 충분히","거미 진드기, 진딧물, 깍지벌레, 스케일, 트립스","넓고 독특한 구멍이 있는 잎으로 유명하며, 공기 정화 능력이 뛰어나고 실내 장식용으로 인기가 많음. 실내식물로, 광은 중간~밝음이 적합하다. 습도 50~60%, 온도 18~27℃에서 안정적으로 자라며 봄~가을 생육이 왕성하다. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.",성숙 잎의 천공을 늘리고 싶다면 지지대(모스폴)를 세워 공중뿌리가 고정되게 하라. 화분을 주기적으로 1/4회전씩 돌려 빛을 고르게 받게 하면 한쪽으로 쏠린 수형을 방지한다.,
2,스투키,Snake Plant (Sansevieria),실내식물,stuki.jpg,연중,,밝음~반그늘,30~50%,15~30℃,"주 2~3주 1회, 흙 완전 건조 후 듬뿍(겨울엔 한 달 1회)","깍지벌레, 깍지벌레류, 거미 진드기, 멸리벌레류, 균핵병","공기 정화 능력이 뛰어나고, 잎이 단단하고 곧게 자라며 건조한 환경에 강한 다육식물이다. 실내식물로, 광은 밝음~반그늘이 적합하다. 습도 30~50%, 온도 15~30℃에서 안정적으로 자라며 연중 생육이 왕성하다. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.",광량이 낮아도 버티지만 성장 속도를 원하면 밝은 간접광으로 옮겨라. 물을 줄 때는 화분 전체가 완전히 마른 뒤 바닥 배수구로 물이 흘러나올 만큼 듬뿍 준다.,
3,홍콩야자,Kentia Palm,실내식물,hongkong_palm.jpg,봄~가을,,반그늘,60~70%,18~25℃,"주 5~7일 1회, 표토 마르면 소량씩 자주 + 분무 병행","응애(거미진드기), 깍지벌레, 진딧물, 곰팡이병, 스케일","작고 귀여운 잎이 모여 자라는 관엽식물로, 실내에서 키우기 좋다. 실내식물로, 광은 반그늘이 적합하다. 습도 60~70%, 온도 18~25℃에서 안정적으로 자라며 봄~가을 생육이 왕성하다. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","실내 야자류 특성상 건조와 통풍 부족에서 잎 끝 마름이 생긴다. 분무는 오전에 짧게 하고, 받침의 고인 물은 바로 비워 뿌리 부패를 막는다. 수태나 자갈 트레이로 주변 습도를 보완하고, 분갈이는",
4,오렌지자스민,Orange Jasmine,실내식물,orange_jasmine.jpg,봄~여름,여름,밝음,50~60%,20~28℃,"주 7~10일 1회, 표토 2~3cm 건조 후 충분히","귤나무이(진딧물), 깍지벌레, 흰가루병(곰팡이), 균핵병, 잿빛곰팡이병","향기로운 하얀 꽃을 피우며, 상쾌한 향기를 뿜는다. 실내식물로, 광은 밝음이 적합하다. 습도 50~60%, 온도 20~28℃에서 안정적으로 자라며 봄~여름 생육이 왕성하다, 여름 개화. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","꽃눈 분화를 위해 밝은 빛과 큰 일교차가 도움이 된다. 꽃이 진 뒤에는 가볍게 전정하여 수형을 정리하고, 생육기에는 인산 비율이 약간 높은 비료를 소량 반복 투여한다.",
5,칼라데아,Calathea,실내식물,calathea.jpg,봄~가을,,반그늘,60~80%,18~25℃,"주 5~7일 1회, 표토 마르면 소량씩 자주 + 분무 병행","뿌리썩음병, 잿빛곰팡이병, 점무늬병, 응애, 깍지벌레","다양하고 화려한 잎 무늬가 특징인 실내식물로, 직사광선을 피하고 높은 습도를 유지하면 건강하게 자란다. 실내식물로, 광은 반그늘이 적합하다. 습도 60~80%, 온도 18~25℃에서 안정적으로 자라며 봄~가을 생육이 왕성하다. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.",엽록체가 많은 무늬 잎은 수분 스트레스에 민감하다. 수돗물의 염소·석회 성분에 잎끝 타는 증상이 생길 수 있으니 하루 받아뒀다 쓰거나 정수·빗물을 권장한다.,
6,스파티필름,Peace Lily,실내식물,spathiphyllum.jpg,봄~가을,봄,반그늘,60~70%,18~27℃,"주 5~7일 1회, 표토 마르면 소량씩 자주 + 분무 병행","줄기썩음병, 뿌리썩음병, 잎썩음병, 흰비단병, 진딧물/총채벌레/거미응애","하얀 꽃과 짙은 녹색 잎이 조화를 이루는 식물로, 실내 공기 정화 효과가 뛰어나다. 실내식물로, 광은 반그늘이 적합하다. 습도 60~70%, 온도 18~27℃에서 안정적으로 자라며 봄~가을 생육이 왕성하다, 봄 개화. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","얕은 건조에는 견디지만 장기 과건조는 개화를 줄인다. 표토가 마르면 저면관수로 흠뻑 적시고, 꽃대는 갈변 직후 아랫부분에서 잘라 새 꽃을 유도한다.",
7,피쿠스 벤자민,Ficus Benjamina,실내식물,ficus_benjamina.jpg,봄~가을,,밝음,50~60%,20~28℃,"주 7~10일 1회, 표토 2~3cm 건조 후 충분히","깍지벌레, 스케일, 거미 진드기, 분무류 곤충, 세균성 잎반점병","작고 반짝이는 잎이 매력적인 나무형 실내식물로, 빛을 좋아하며 인테리어용으로 인기가 높다. 실내식물로, 광은 밝음이 적합하다. 습도 50~60%, 온도 20~28℃에서 안정적으로 자라며 봄~가을 생육이 왕성하다. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","환경 변화에 민감하니 자리 이동을 최소화하고, 겨울철 창가 냉기와 난방 바람을 동시에 피할 수 있는 밝은 위치를 잡아라. 새순이 연할 때 가지치기를 하면 수형이 촘촘해진다.",
8,안스리움,Anthurium,실내식물,anthurium.jpg,봄~가을,봄~여름,반그늘,60~70%,18~27℃,"주 7~10일 1회, 표토 2~3cm 건조 후 충분히","세균점무늬병, 응애, 깍지벌레, 진딧물, 곰팡이병","빨강, 분홍, 흰색 등 다양한 색의 꽃이 매력적인 식물로, 반그늘에서 잘 자란다. 실내식물로, 광은 반그늘이 적합하다. 습도 60~70%, 온도 18~27℃에서 안정적으로 자라며 봄~가을 생육이 왕성하다, 봄~여름 개화. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","착생성 성향이 있어 배양토는 피트모스+퍼라이트+수피 혼합처럼 통기성 있게 구성한다. 너무 깊게 심지 말고, 뿌리 주변 온도를 따뜻하게 유지하면 꽃대 형성이 활발하다.",
9,알로카시아,Alocasia,실내식물,alocasia.jpg,봄~가을,,밝음~반그늘,60~80%,18~27℃,"주 5~7일 1회, 표토 마르면 소량씩 자주 + 분무 병행","응애, 진딧물, 깍지벌레, 민달팽이, 곰팡이병","크고 독특한 화살촉 모양의 잎이 특징이며, 열대 식물답게 따뜻하고 습한 환경을 좋아한다. 실내식물로, 광은 밝음~반그늘이 적합하다. 습도 60~80%, 온도 18~27℃에서 안정적으로 자라며 봄~가을 생육이 왕성하다. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","고온다습을 좋아하지만 통풍이 없으면 응애가 번식하기 쉽다. 잎 뒷면을 주기적으로 살펴 초기 제거하고, 겨울에 지상부가 줄어드는 휴면이 와도 구근이 살아있으면 봄에 다시 오른다.",
10,산세베리아,Sansevieria,실내식물,sansevieria.jpg,연중,,밝음~반그늘,30~50%,15~30℃,"주 2~3주 1회, 흙 완전 건조 후 듬뿍(겨울엔 한 달 1회)","진딧물, 응애, 깍지벌레, 곰팡이병, 바이러스병","공기정화 식물로 유명하며, 건조에 강해 초보자도 쉽게 키울 수 있다. 실내식물로, 광은 밝음~반그늘이 적합하다. 습도 30~50%, 온도 15~30℃에서 안정적으로 자라며 연중 생육이 왕성하다. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","광이 부족하면 무늬와 줄기가 흐려진다. 잎꽂이로 번식할 때는 V자 컷으로 절단면을 넓혀 발근을 돕고, 절단 방향을 뒤집지 않도록 표시해 둔다. 겨울엔 흙이 완전히 마른 뒤에도 바로 주지 말고 1주",
11,아레카야자,Areca Palm,실내식물,areca_palm.jpg,봄~가을,,밝음,60~70%,20~28℃,"주 5~7일 1회, 표토 마르면 소량씩 자주 + 분무 병행","진드기류(응애), 깍지벌레, 곰팡이병, 진딧물, 흰가루병","부드러운 잎이 우아하게 늘어지는 야자과 식물로, 실내 습도를 높여주는 효과가 있다. 실내식물로, 광은 밝음이 적합하다. 습도 60~70%, 온도 20~28℃에서 안정적으로 자라며 봄~가을 생육이 왕성하다. 과습을 피하고 통풍을 유지하면 관리가 쉽다. 배수성 좋은 토양을 사용하고, 비료는 생육기에 소량씩 보충하면 생육이 안정적이다.","불소·염분에 민감하니 정수 또는 하루 받아둔 물을 사용한다. 잎 끝이 갈색으로 마를 땐 공중 습도를 먼저 점검하고, 갈변 부위만 살짝 잘라 형태를 다듬는다.",
